model,xai_method,part_overlap_ratio,clutter_leakage_ratio,explanation_runtime_sec
efficientnet,gradcam,0.087087,0.048894,0.054426
efficientnet,intgrad,0.1007337046361994,0.2354657816433966,0.6141804218292236
efficientnet,iriscam,0.0871124844230818,0.0488797334757508,0.0312614242235819
efficientnet,lime,0.056517,0.077366,0.907069
efficientnet,shap,0.059693,0.203989,14.122279
resnet18,gradcam,0.078762,0.061251,0.027239
resnet18,intgrad,0.1033582564024312,0.2366661580326034,0.6831851998964945
resnet18,iriscam,0.0787403677424277,0.0612166526792299,0.026680322488149
resnet18,lime,0.014466,0.07599,0.913121
resnet18,shap,0.086263,0.259791,9.470605
simplecnn,gradcam,0.097656,0.091957,0.155629
simplecnn,intgrad,0.1067343149970753,0.1414981816332239,0.1564864675203959
simplecnn,iriscam,0.0891571933572391,0.0722387528292769,0.012547214825948
simplecnn,lime,0.031214,0.069289,0.886403
simplecnn,shap,0.107717,0.178773,6.933449
